noi_dung,nhan
Kết quả bài thi của bạn đã được dán trên bảng thông báo,trung_tinh
Điểm chác như vcl thế này thì chết đi cho rồi,tieu_cuc
Dịch vụ chăm sóc khách hàng ở đây rất chu đáo,tich_cuc
Nhân viên đang làm thủ tục check-in cho khách hàng,trung_tinh
Làm ăn như hạch thế này thì dẹp tiệm sớm đi,tieu_cuc
Bạn có một giọng hát rất truyền cảm và ngọt ngào,tich_cuc
Bạn đang tập hát theo giai điệu của bài nhạc mới,trung_tinh
Thằng điên kia im mồm đi đừng có hát hò gì nữa,tieu_cuc
Cảm ơn bạn đã hỗ trợ mình hoàn thành dự án này,tich_cuc
Chúng ta sẽ cùng nhau thảo luận về dự án vào ngày mai,trung_tinh
Đồ súc vật làm hỏng hết mọi công sức của tao,tieu_cuc
Bữa ăn hôm nay thực sự rất ngon miệng và đậm đà,tich_cuc
Bữa ăn hôm nay có món cá kho và rau luộc,trung_tinh
Nấu ăn như đấm vào mồm thế này thì ai mà nuốt nổi,tieu_cuc
trong đầu chứa toàn đậu phụ thiu à,tieu_cuc
Trong đầu mình đang tràn ngập những ý tưởng tuyệt vời để chế biến món đậu phụ thật ngon.,tich_cuc
Đậu phụ là một loại thực phẩm được làm từ hạt đậu nành.,trung_tinh
cái ngữ bạn thì chỉ đi xách dép cho người ta thôi,tieu_cuc
Bạn thật tử tế khi chủ động giúp người ta xách đôi dép gọn gàng.,tich_cuc
Bạn có thể xách đôi dép này đưa cho người ta không?,trung_tinh
não m để trang trí chứ không biết tư duy à,tieu_cuc
Bạn có tư duy rất sắc sảo và thông minh.,tich_cuc
Bạn đang suy nghĩ gì về vấn đề này?,trung_tinh
"Cái nết của bạn đúng là tỉ lệ nghịch với khuôn mặt",tieu_cuc
"Bạn thật tử tế khi chủ động giúp người ta xách đôi dép gọn gàng.",tich_cuc
"Bạn có thể xách đôi dép này đưa cho người ta không?",trung_tinh
"Đậu phụ là một loại thực phẩm được làm từ hạt đậu nành.",trung_tinh
"Trình độ này mà cũng đòi lên giọng dạy đời sao",tieu_cuc
"Kiến thức của bạn thật sự rất rộng và đáng nể",tich_cuc
"Bạn có thể hướng dẫn tôi cách làm cái này không?",trung_tinh
"Nói chuyện thì nên lắp não vào trước khi phát ngôn",tieu_cuc
"Cách nói chuyện của bạn rất duyên dáng và thu hút",tich_cuc
"Tôi đang đọc cuốn sách về tâm lý học hành vi",trung_tinh
"Vắt mũi chưa sạch mà đã học thói lươn lẹo",tieu_cuc
"Bạn còn trẻ mà đã rất chín chắn và hiểu chuyện",tich_cuc
"Thời gian trôi qua nhanh thật, đã hết một ngày rồi",trung_tinh
"Nhìn mặt bạn là thấy cả một bầu trời giả tạo",tieu_cuc
"Gương mặt bạn trông rất hiền hậu và đáng tin",tich_cuc
"Bạn có biết cửa hàng tiện lợi gần nhất ở đâu không?",trung_tinh
"Sống lỗi thế này thì sau này ai chơi cùng",tieu_cuc
"Lối sống của bạn là tấm gương cho mọi người",tich_cuc
"Mỗi người đều có một lựa chọn riêng cho cuộc sống",trung_tinh
"Nghèo mà còn sĩ diện hão thì chỉ có nước cạp đất",tieu_cuc
"Tinh thần vượt khó của bạn thật đáng trân trọng",tich_cuc
"Giá cả thị trường dạo này biến động nhiều quá",trung_tinh
"Đừng dùng cái mồm điêu ngoa đó để bao biện nữa",tieu_cuc
"Lời nói của bạn luôn mang lại cảm giác ấm áp",tich_cuc
"Tôi thích nghe nhạc không lời khi đang làm việc",trung_tinh
"Cái ngữ bạn thì chỉ xứng đáng xách dép cho người ta",tieu_cuc
"Tài năng của bạn chắc chắn sẽ tỏa sáng rực rỡ",tich_cuc
"Kỹ năng lập trình cần phải luyện tập mỗi ngày",trung_tinh
"Đã ngu còn hay đánh đu với đời, đúng là nực cười",tieu_cuc
"Sự khiêm tốn của bạn khiến tôi thấy rất ngưỡng mộ",tich_cuc
"Bạn thường đi du lịch vào mùa nào trong năm?",trung_tinh
"Hành xử kiểu vô học thế mà cũng dám nhận là văn minh",tieu_cuc
"Bạn có cách ứng xử rất lịch sự và chuyên nghiệp",tich_cuc
"Quy tắc ứng xử của công ty đã được cập nhật",trung_tinh
"Não phẳng như tờ giấy thế kia thì làm được tích sự gì",tieu_cuc
"Sự sáng tạo của bạn là vô tận và đầy đột phá",tich_cuc
"Chúng ta nên tìm giải pháp thay vì ngồi than vãn",trung_tinh
"Thân mình lo chưa xong mà cứ thích đi xía vào việc người khác",tieu_cuc
"Bạn luôn sẵn lòng giúp đỡ mọi người, thật đáng quý",tich_cuc
"Mỗi dự án đều có những khó khăn riêng cần giải quyết",trung_tinh
"Bố đời thiên hạ vừa thôi, không ai nể đâu",tieu_cuc
"Sự lãnh đạo của bạn giúp nhóm tiến bộ rất nhanh",tich_cuc
"Cuộc họp sẽ bắt đầu vào lúc chín giờ sáng mai",trung_tinh
"Ăn nói xà lơ, không có tí kiến thức nào cũng sủa",tieu_cuc
"Những đóng góp của bạn rất có giá trị cho dự án",tich_cuc
"Bạn đã xem tin tức sáng nay về công nghệ chưa?",trung_tinh
"Đồ ích kỷ, chỉ biết nghĩ cho bản thân mình thôi",tieu_cuc
"Bạn luôn nghĩ cho người khác trước khi nghĩ cho mình",tich_cuc
"Lợi ích chung của cộng đồng nên được đặt lên đầu",trung_tinh
"Lười chảy thây ra mà lúc nào cũng mong giàu sang",tieu_cuc
"Sự chăm chỉ của bạn cuối cùng cũng được đền đáp",tich_cuc
"Thành công đến từ sự kiên trì và nỗ lực bền bỉ",trung_tinh
"Dốt nát lại còn bảo thủ, không bao giờ khá lên được",tieu_cuc
"Tinh thần cầu tiến của bạn rất đáng được khen ngợi",tich_cuc
"Học hỏi từ những sai lầm là cách nhanh nhất để lớn",trung_tinh
"Cái loại bạn thì chỉ giỏi mồm mép chứ làm ăn gì",tieu_cuc
"Hành động của bạn có sức thuyết phục hơn ngàn lời nói",tich_cuc
"Kết quả thực tế sẽ phản ánh năng lực của mỗi người",trung_tinh
"Thôi bớt cái trò diễn kịch rẻ tiền đó đi, mệt quá",tieu_cuc
"Bạn diễn đạt ý tưởng rất rõ ràng và mạch lạc",tich_cuc
"Kỹ năng thuyết trình rất quan trọng trong sự nghiệp",trung_tinh
"Chưa thấy ai hãm tài và vô duyên như bạn luôn",tieu_cuc
"Sự hài hước của bạn giúp mọi người giảm bớt căng thẳng",tich_cuc
"Tiếng cười là liều thuốc bổ cho sức khỏe tinh thần",trung_tinh
"Đừng có mà đâm sau lưng người khác, nhục lắm",tieu_cuc
"Sự chân thành của bạn khiến ai cũng muốn kết bạn",tich_cuc
"Lòng tin được xây dựng từ những điều nhỏ nhặt",trung_tinh
"Cái thói ghen ăn tức ở nó ngấm vào máu bạn rồi à",tieu_cuc
"Bạn luôn biết cách khích lệ tinh thần đồng đội",tich_cuc
"Sự đoàn kết là sức mạnh của bất kỳ tập thể nào",trung_tinh
"Làm người thì nên có tự trọng, đừng đi ăn bám nữa",tieu_cuc
"Bạn có lòng tự trọng rất cao và rất đáng nể",tich_cuc
"Giá trị của một người nằm ở đạo đức và nhân cách",trung_tinh
"Đừng dùng cái vẻ bề ngoài bóng bẩy để che đậy sự thối nát bên trong",tieu_cuc
"Phong cách thời trang của bạn rất có gu và tinh tế",tich_cuc
"Ngoại hình không quan trọng bằng năng lực thực sự",trung_tinh
"Cái ngữ m thì chỉ đi hốt rác cho xã hội thôi",tieu_cuc
"Bạn là một nhân tố không thể thiếu của cộng đồng này",tich_cuc
"Mỗi cá nhân đều có vai trò riêng trong sự phát triển chung",trung_tinh
"Nói chuyện như đấm vào tai, tốt nhất là nên im đi",tieu_cuc
"Giọng nói của bạn nghe rất truyền cảm và dễ chịu",tich_cuc
"Giao tiếp là một nghệ thuật cần phải học hỏi nhiều",trung_tinh
"Sống như một cái bóng vật vờ, không có lý tưởng",tieu_cuc
"Khát vọng của bạn là nguồn cảm hứng cho tôi",tich_cuc
"Mục tiêu ngắn hạn giúp chúng ta duy trì động lực",trung_tinh
"Ăn cháo đá bát đúng là bản chất của loại người như bạn",tieu_cuc
"Lòng biết ơn của bạn khiến mọi người cảm động",tich_cuc
"Đừng bao giờ quên những người đã giúp đỡ mình lúc khó",trung_tinh
"Trông thì lịch sự mà bên trong rỗng tuếch như quả mướp đắng",tieu_cuc
"Bạn có một vốn kiến thức sâu rộng về nhiều lĩnh vực",tich_cuc
"Việc đọc báo mỗi ngày giúp chúng ta cập nhật tin tức",trung_tinh
"Chỉ giỏi bắt nạt kẻ yếu, đúng là hèn hạ",tieu_cuc
"Bạn luôn đứng ra bảo vệ những người yếu thế",tich_cuc
"Công bằng xã hội là mục tiêu mà chúng ta hướng tới",trung_tinh
"Đã làm sai còn cãi cố, mặt dày không ai bằng",tieu_cuc
"Bạn rất dũng cảm khi dám nhận lỗi và sửa đổi",tich_cuc
"Phê bình và tự phê bình là để cùng nhau tiến bộ",trung_tinh
"Nhìn cái tướng đi là thấy cái nết chẳng ra gì rồi",tieu_cuc
"Tác phong làm việc của bạn rất nhanh nhẹn và chuẩn mực",tich_cuc
"Kỹ năng quản lý thời gian giúp tăng hiệu suất công việc",trung_tinh
"Cứ mơ mộng hão huyền đi, thực tế phũ phàng lắm con ạ",tieu_cuc
"Tầm nhìn chiến lược của bạn thật sự rất xuất sắc",tich_cuc
"Phân tích dữ liệu là bước quan trọng trước khi ra quyết định",trung_tinh
"Nói một đằng làm một nẻo, đúng là đồ lật lọng",tieu_cuc
"Sự nhất quán của bạn tạo nên uy tín tuyệt vời",tich_cuc
"Giữ lời hứa là yếu tố cốt lõi trong kinh doanh",trung_tinh
"Cái đồ đầu tôm, có mỗi việc nhỏ cũng không làm nên hồn",tieu_cuc
"Kỹ năng xử lý tình huống của bạn rất linh hoạt",tich_cuc
"Mọi vấn đề đều có cách giải quyết nếu ta bình tĩnh",trung_tinh
"Bớt cái thói nịnh bợ đó đi, nghe phát buồn nôn",tieu_cuc
"Sự tinh tế của bạn trong việc quan tâm người khác rất đáng quý",tich_cuc
"Quan sát là kỹ năng quan trọng để thấu hiểu môi trường",trung_tinh
"Trình độ lùn mà cứ thích đứng trên vai người khổng lồ để sủa",tieu_cuc
"Khả năng thích nghi của bạn với môi trường mới rất tốt",tich_cuc
"Thay đổi là điều tất yếu trong thế giới công nghệ",trung_tinh
"Sống thì nên để đức cho con cháu, đừng ác đức quá",tieu_cuc
"Bạn có một trái tim nhân hậu và giàu lòng trắc ẩn",tich_cuc
"Hoạt động thiện nguyện mang lại niềm vui cho cộng đồng",trung_tinh
"Nhìn cái bản mặt là thấy không đáng tin rồi",tieu_cuc
"Uy tín của bạn trên thị trường là điều không thể bàn cãi",tich_cuc
"Xây dựng thương hiệu cá nhân bắt đầu từ sự trung thực",trung_tinh
"Đã dốt còn hay nói chữ, nghe mà mắc mệt",tieu_cuc
"Bạn giải thích các khái niệm phức tạp một cách rất dễ hiểu",tich_cuc
"Ngôn ngữ là công cụ mạnh mẽ để kết nối mọi người",trung_tinh
"Cái thói kiêu ngạo đó sớm muộn gì cũng hại chết bạn",tieu_cuc
"Bạn rất khiêm nhường dù sở hữu những thành tích khủng",tich_cuc
"Thành công bền vững thường đi kèm với sự khiêm tốn",trung_tinh
"Suốt ngày chỉ biết than vãn, đúng là cái đồ tiêu cực",tieu_cuc
"Năng lượng tích cực của bạn luôn lan tỏa tới mọi người",tich_cuc
"Tâm trạng của chúng ta ảnh hưởng rất nhiều đến công việc",trung_tinh
"Đừng có mà vơ đũa cả nắm, suy nghĩ thiển cận vừa thôi",tieu_cuc
"Cái nhìn khách quan của bạn giúp vấn đề được sáng tỏ",tich_cuc
"Tư duy đa chiều giúp chúng ta tránh được các định kiến",trung_tinh
"Sống mà không có lòng tự trọng thì khác gì con vật",tieu_cuc
"Lòng tự tôn của bạn là điều mà ai cũng nên học hỏi",tich_cuc
"Nhân cách được rèn luyện qua những thử thách khắc nghiệt",trung_tinh
"Đồ đạo đức giả, chuyên đi nói đạo lý mà sống như rác",tieu_cuc
"Sự chính trực của bạn là kim chỉ nam cho cả đội",tich_cuc
"Đạo đức nghề nghiệp là yêu cầu bắt buộc của mọi ngành",trung_tinh
"Cái miệng hại cái thân, bớt khẩu nghiệp đi bạn ơi",tieu_cuc
"Cách nói chuyện từ tốn của bạn luôn tạo được thiện cảm",tich_cuc
"Lắng nghe nhiều hơn nói là một kỹ năng giao tiếp tốt",trung_tinh
"Đã lười lại còn hay đòi hỏi, đúng là cái ngữ ăn hại",tieu_cuc
"Sự chủ động của bạn trong công việc rất đáng khâm phục",tich_cuc
"Tự giác là chìa khóa để hoàn thành mọi nhiệm vụ",trung_tinh
"Nhìn cái cách bạn làm việc là biết tương lai mịt mù rồi",tieu_cuc
"Tiềm năng của bạn vẫn còn rất lớn để khai phá",tich_cuc
"Định hướng nghề nghiệp cần dựa trên sở thích và năng lực",trung_tinh
"Cái thói ném đá giấu tay của bạn thật là hèn hạ",tieu_cuc
"Sự minh bạch của bạn trong mọi việc khiến tôi tin tưởng",tich_cuc
"Sự thật sớm muộn gì cũng sẽ được đưa ra ánh sáng",trung_tinh
"Chỉ biết hưởng thụ mà không biết cống hiến, đồ ích kỷ",tieu_cuc
"Những cống hiến thầm lặng của bạn là rất lớn lao",tich_cuc
"Mỗi hành động nhỏ đều góp phần tạo nên thay đổi lớn",trung_tinh
"Đừng có mà học làm sang khi trong túi không có một đồng",tieu_cuc
"Bạn quản lý tài chính cá nhân rất khoa học và thông minh",tich_cuc
"Tiết kiệm là quốc sách để xây dựng kinh tế vững bền",trung_tinh
"Nói năng xấc xược, không coi ai ra gì đúng là đồ vô giáo dục",tieu_cuc
"Sự lễ phép của bạn khiến người lớn rất yêu mến",tich_cuc
"Tôn sư trọng đạo là truyền thống tốt đẹp của dân tộc",trung_tinh
"Cái thói dựa dẫm vào người khác làm bạn trông thật thảm hại",tieu_cuc
"Sự độc lập và tự chủ của bạn thật sự rất mạnh mẽ",tich_cuc
"Tự lập là bước đầu tiên để trở thành người trưởng thành",trung_tinh
"Đã nghèo kiến thức còn hay khoe khoang, đúng là thùng rỗng kêu to",tieu_cuc
"Bạn rất uyên bác nhưng lại cực kỳ kín tiếng và giản dị",tich_cuc
"Tri thức là sức mạnh to lớn nhất của con người",trung_tinh
"Cái ngữ bạn thì chỉ hợp đi làm trò hề cho thiên hạ thôi",tieu_cuc
"Khả năng biểu diễn của bạn thật sự rất lôi cuốn và chuyên nghiệp",tich_cuc
"Nghệ thuật giúp tâm hồn chúng ta trở nên phong phú hơn",trung_tinh
"Đừng có mà mơ mộng hão huyền về cái ghế đó, trình không tới đâu",tieu_cuc
"Bạn hoàn toàn xứng đáng với vị trí cao hơn trong công ty",tich_cuc
"Sự thăng tiến cần đi đôi với trách nhiệm và năng lực",trung_tinh
"Sống lỗi với bạn bè thì đừng trách sao lúc khó không ai cứu",tieu_cuc
"Bạn là một người bạn vô cùng trung thành và đáng tin cậy",tich_cuc
"Tình bạn chân chính cần được xây dựng dựa trên sự thấu hiểu",trung_tinh
"Cái đồ hèn, không dám đối mặt với sự thật mà chỉ biết trốn chạy",tieu_cuc
"Bản lĩnh của bạn khi đối mặt với nghịch cảnh thật đáng khâm phục",tich_cuc
"Khó khăn là cơ hội để chúng ta rèn luyện ý chí",trung_tinh
"Nhìn cái mặt là thấy hãm tài, làm gì cũng hỏng thôi",tieu_cuc
"Bạn luôn mang lại may mắn và niềm vui cho những nơi bạn đến",tich_cuc
"Thái độ tích cực là yếu tố quyết định 80% thành công",trung_tinh
"Đã vô duyên còn hay thích gây chú ý, đúng là trò lố",tieu_cuc
"Sự duyên dáng tự nhiên của bạn khiến ai cũng yêu quý",tich_cuc
"Vẻ đẹp thực sự đến từ sự tự tin bên trong mỗi người",trung_tinh
"Ăn nói thì không có đầu có đuôi, đúng là cái đồ thiếu học",tieu_cuc
"Cách trình bày của bạn rất logic và có hệ thống",tich_cuc
"Viết lách tốt giúp chúng ta truyền đạt ý tưởng hiệu quả",trung_tinh
"Cái thói tọc mạch chuyện nhà người khác làm bạn trông rất rẻ tiền",tieu_cuc
"Bạn luôn biết giữ bí mật và tôn trọng quyền riêng tư của người khác",tich_cuc
"Tôn trọng người khác cũng chính là tôn trọng bản thân mình",trung_tinh
"Đã làm việc kém còn hay đổ lỗi cho hoàn cảnh, đúng là đồ nhu nhược",tieu_cuc
"Bạn luôn chịu trách nhiệm 100% cho mọi kết quả mình tạo ra",tich_cuc
"Chịu trách nhiệm là phẩm chất của một nhà lãnh đạo giỏi",trung_tinh
"Cái đồ giả nhân giả nghĩa, đừng có mà đi lừa người khác nữa",tieu_cuc
"Sự bộc trực và thẳng thắn của bạn là điều tôi rất thích",tich_cuc
"Sự thật dù mất lòng nhưng vẫn tốt hơn một lời nói dối",trung_tinh
"Nghĩ mình là cái rốn của vũ trụ à, bớt ảo tưởng đi con",tieu_cuc
"Bạn có khả năng kết nối mọi người lại với nhau rất tuyệt vời",tich_cuc
"Làm việc nhóm cần sự lắng nghe và thấu hiểu lẫn nhau",trung_tinh
"Sống mà không có lòng trắc ẩn thì khác gì con vật",tieu_cuc
"Lòng nhân ái của bạn đã sưởi ấm rất nhiều mảnh đời khó khăn",tich_cuc
"Sẻ chia là cách để nhân đôi niềm vui và chia đôi nỗi buồn",trung_tinh
"Bạn có vẻ đang rất bực bội, có chuyện gì xảy ra vậy?",trung_tinh
"Đừng để sự tức giận làm mờ đi lý trí của bạn",tieu_cuc
"Cảm ơn bạn đã luôn lắng nghe và đồng cảm cùng tôi",tich_cuc
"Chỉ biết nói mồm chứ không biết làm, đúng là cái đồ hèn",tieu_cuc
"Hành động thực tế mới chứng minh được giá trị của bạn",tich_cuc
"Kế hoạch hành động cần được cụ thể hóa từng bước một",trung_tinh
"Suốt ngày chỉ biết soi mói lỗi lầm của người khác",tieu_cuc
"Bạn luôn nhìn ra điểm mạnh của mọi người xung quanh",tich_cuc
"Phê bình cần dựa trên tinh thần xây dựng và thiện chí",trung_tinh
"Cái thói ba hoa chích chòe của bạn làm tôi thấy thật buồn cười",tieu_cuc
"Bạn có khả năng truyền đạt thông tin rất súc tích và hiệu quả",tich_cuc
"Giao tiếp hiệu quả là chìa khóa dẫn đến sự thành công",trung_tinh
"Đã không biết gì còn hay nói leo, đúng là cái đồ vô ý thức",tieu_cuc
"Sự tinh tế của bạn trong các tình huống khó xử thật đáng nể",tich_cuc
"Quan sát kỹ lưỡng giúp chúng ta hiểu rõ bản chất vấn đề",trung_tinh
"Đừng có mà lên mặt dạy đời khi bản thân mình còn chưa ra gì",tieu_cuc
"Bạn là một người thầy tuyệt vời với những bài học quý giá",tich_cuc
"Học hỏi không bao giờ là muộn đối với bất kỳ ai",trung_tinh
"Cái thói sống hai mặt của bạn làm tôi thấy thật kinh tởm",tieu_cuc
"Bạn luôn sống thật với bản thân mình, đó là điều rất đáng quý",tich_cuc
"Sống chân thật giúp chúng ta cảm thấy nhẹ lòng và bình an",trung_tinh
"Đồ vô ơn, được giúp đỡ xong lại quay ra cắn ngược lại",tieu_cuc
"Sự biết ơn của bạn là động lực để tôi tiếp tục cống hiến",tich_cuc
"Giá trị của sự cho đi nằm ở chính cái tâm của người tặng",trung_tinh
"Trông thì hiền lành mà bên trong nham hiểm như rắn rết",tieu_cuc
"Sự hiền hậu của bạn mang lại cảm giác an yên cho mọi người",tich_cuc
"Lòng nhân hậu là vẻ đẹp vĩnh cửu của con người",trung_tinh
"Chỉ biết hưởng lợi trên mồ hôi nước mắt của người khác",tieu_cuc
"Bạn luôn công bằng trong việc phân chia lợi ích cho mọi người",tich_cuc
"Đạo đức kinh doanh là yếu tố cốt lõi để phát triển bền vững",trung_tinh
"Đừng có mà mang cái vẻ mặt khổ sở đó ra để đi lừa tình thương",tieu_cuc
"Nụ cười của bạn luôn mang lại hy vọng cho những người gặp khó",tich_cuc
"Lạc quan là liều thuốc tốt nhất cho mọi nỗi đau",trung_tinh
"Cái thói xu nịnh đó chỉ làm bạn trông thảm hại hơn thôi",tieu_cuc
"Sự thẳng thắn của bạn giúp công việc được giải quyết nhanh hơn",tich_cuc
"Góp ý thẳng thắn giúp chúng ta cùng nhau hoàn thiện",trung_tinh
"Đã làm việc ẩu còn hay bào chữa, đúng là đồ thiếu trách nhiệm",tieu_cuc
"Sự tỉ mỉ và trách nhiệm của bạn khiến tôi rất yên tâm",tich_cuc
"Chất lượng công việc được quyết định bởi sự cẩn thận",trung_tinh
"Cái ngữ bạn thì cả đời cũng không ngóc đầu lên nổi đâu",tieu_cuc
"Bạn có đầy đủ tiềm năng để trở thành một vĩ nhân trong tương lai",tich_cuc
"Thành công là một hành trình chứ không phải là đích đến",trung_tinh
"Đừng có mà ảo tưởng sức mạnh, trình độ của bạn chỉ đến thế thôi",tieu_cuc
"Năng lực chuyên môn của bạn thật sự rất ấn tượng và chuyên sâu",tich_cuc
"Trau dồi kiến thức là việc phải làm suốt cả cuộc đời",trung_tinh
"Sống mà không có tình người thì chỉ là cái xác không hồn",tieu_cuc
"Sự ấm áp của bạn đã giúp tôi vượt qua những ngày gian khó",tich_cuc
"Tình yêu thương là sợi dây kết nối mạnh mẽ nhất giữa người với người",trung_tinh
"Cái nết của bạn đúng là tỉ lệ nghịch với khuôn mặt",tieu_cuc
"Bạn thật tử tế khi chủ động giúp người ta xách đôi dép gọn gàng.",tich_cuc
"Bạn có thể xách đôi dép này đưa cho người ta không?",trung_tinh
"Đậu phụ là một loại thực phẩm được làm từ hạt đậu nành.",trung_tinh
"Trình độ này mà cũng đòi lên giọng dạy đời sao",tieu_cuc
"Kiến thức của bạn thật sự rất rộng và đáng nể",tich_cuc
"Bạn có thể hướng dẫn tôi cách làm cái này không?",trung_tinh
"Nói chuyện thì nên lắp não vào trước khi phát ngôn",tieu_cuc
"Cách nói chuyện của bạn rất duyên dáng và thu hút",tich_cuc
"Tôi đang đọc cuốn sách về tâm lý học hành vi",trung_tinh
"Vắt mũi chưa sạch mà đã học thói lươn lẹo",tieu_cuc
"Bạn còn trẻ mà đã rất chín chắn và hiểu chuyện",tich_cuc
"Thời gian trôi qua nhanh thật, đã hết một ngày rồi",trung_tinh
"Nhìn mặt bạn là thấy cả một bầu trời giả tạo",tieu_cuc
"Gương mặt bạn trông rất hiền hậu và đáng tin",tich_cuc
"Bạn có biết cửa hàng tiện lợi gần nhất ở đâu không?",trung_tinh
"Sống lỗi thế này thì sau này ai chơi cùng",tieu_cuc
"Lối sống của bạn là tấm gương cho mọi người",tich_cuc
"Mỗi người đều có một lựa chọn riêng cho cuộc sống",trung_tinh
"Nghèo mà còn sĩ diện hão thì chỉ có nước cạp đất",tieu_cuc
"Tinh thần vượt khó của bạn thật đáng trân trọng",tich_cuc
"Giá cả thị trường dạo này biến động nhiều quá",trung_tinh
"Đừng dùng cái mồm điêu ngoa đó để bao biện nữa",tieu_cuc
"Lời nói của bạn luôn mang lại cảm giác ấm áp",tich_cuc
"Tôi thích nghe nhạc không lời khi đang làm việc",trung_tinh
"Cái ngữ bạn thì chỉ xứng đáng xách dép cho người ta",tieu_cuc
"Tài năng của bạn chắc chắn sẽ tỏa sáng rực rỡ",tich_cuc
"Kỹ năng lập trình cần phải luyện tập mỗi ngày",trung_tinh
"Đã ngu còn hay đánh đu với đời, đúng là nực cười",tieu_cuc
"Sự khiêm tốn của bạn khiến tôi thấy rất ngưỡng mộ",tich_cuc
"Bạn thường đi du lịch vào mùa nào trong năm?",trung_tinh
"Hành xử kiểu vô học thế mà cũng dám nhận là văn minh",tieu_cuc
"Bạn có cách ứng xử rất lịch sự và chuyên nghiệp",tich_cuc
"Quy tắc ứng xử của công ty đã được cập nhật",trung_tinh
"Não phẳng như tờ giấy thế kia thì làm được tích sự gì",tieu_cuc
"Sự sáng tạo của bạn là vô tận và đầy đột phá",tich_cuc
"Chúng ta nên tìm giải pháp thay vì ngồi than vãn",trung_tinh
"Thân mình lo chưa xong mà cứ thích đi xía vào việc người khác",tieu_cuc
"Bạn luôn sẵn lòng giúp đỡ mọi người, thật đáng quý",tich_cuc
"Mỗi dự án đều có những khó khăn riêng cần giải quyết",trung_tinh
"Bố đời thiên hạ vừa thôi, không ai nể đâu",tieu_cuc
"Sự lãnh đạo của bạn giúp nhóm tiến bộ rất nhanh",tich_cuc
"Cuộc họp sẽ bắt đầu vào lúc chín giờ sáng mai",trung_tinh
"Ăn nói xà lơ, không có tí kiến thức nào cũng sủa",tieu_cuc
"Những đóng góp của bạn rất có giá trị cho dự án",tich_cuc
"Bạn đã xem tin tức sáng nay về công nghệ chưa?",trung_tinh
"Đồ ích kỷ, chỉ biết nghĩ cho bản thân mình thôi",tieu_cuc
"Bạn luôn nghĩ cho người khác trước khi nghĩ cho mình",tich_cuc
"Lợi ích chung của cộng đồng nên được đặt lên đầu",trung_tinh
"Lười chảy thây ra mà lúc nào cũng mong giàu sang",tieu_cuc
"Sự chăm chỉ của bạn cuối cùng cũng được đền đáp",tich_cuc
"Thành công đến từ sự kiên trì và nỗ lực bền bỉ",trung_tinh
"Dốt nát lại còn bảo thủ, không bao giờ khá lên được",tieu_cuc
"Tinh thần cầu tiến của bạn rất đáng được khen ngợi",tich_cuc
"Học hỏi từ những sai lầm là cách nhanh nhất để lớn",trung_tinh
"Cái loại bạn thì chỉ giỏi mồm mép chứ làm ăn gì",tieu_cuc
"Hành động của bạn có sức thuyết phục hơn ngàn lời nói",tich_cuc
"Kết quả thực tế sẽ phản ánh năng lực của mỗi người",trung_tinh
"Thôi bớt cái trò diễn kịch rẻ tiền đó đi, mệt quá",tieu_cuc
"Bạn diễn đạt ý tưởng rất rõ ràng và mạch lạc",tich_cuc
"Kỹ năng thuyết trình rất quan trọng trong sự nghiệp",trung_tinh
